trade_price,trade_size,side,best_bid,best_ask,bid_depth5,ask_depth5,is_taker
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108516.05,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108516.51,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108517.09,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108517.13,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108517.13,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108517.98,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.21,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.22,0.0005,buy,108470.13,108470.14,0.45529,11.18205,0
108518.22,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.72,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.72,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.72,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,0.023,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,0.023,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108518.73,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,0.00167,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.0008,sell,108470.13,108470.14,0.45529,11.18205,1
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,7e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,5e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,0.00043,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,0.001,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.0092,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00039,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00013,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,6e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.54,0.0001,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,0.0091,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,9e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,0.02764,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00026,sell,108470.13,108470.14,0.45529,11.18205,1
108519.54,0.00048,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,0.00064,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00033,sell,108470.13,108470.14,0.45529,11.18205,1
108519.54,0.00921,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,0.00376,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,9e-05,buy,108470.13,108470.14,0.45529,11.18205,0
108519.54,0.00013,buy,108470.13,108470.14,0.45529,11.18205,0
108519.53,0.05546,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.0094,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00921,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00342,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00045,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.0005,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00049,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.0005,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.01,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00218,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,7e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,0.00155,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,7e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.53,7e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,0.00028,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108519.52,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108518.0,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108518.0,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108518.0,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108517.99,0.02435,sell,108470.13,108470.14,0.45529,11.18205,1
108517.99,7e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108517.99,5e-05,sell,108470.13,108470.14,0.45529,11.18205,1
108517.99,7e-05,sell,108470.13,108470.14,0.45529,11.18205,1
